timestamp,source_ip,destination_ip,protocol,port,size_bytes,status
2025-06-10T15:00:47.697877,192.168.1.1,10.0.0.1,TCP,80,64,anomaly
2025-06-10T15:00:47.712720,192.168.1.2,10.0.0.2,UDP,53,65,normal
2025-06-10T15:00:47.723372,192.168.1.3,10.0.0.3,TCP,80,66,normal
2025-06-10T15:00:47.733818,192.168.1.4,10.0.0.4,UDP,53,67,normal
2025-06-10T15:00:47.744116,192.168.1.5,10.0.0.5,TCP,80,68,normal
2025-06-10T15:00:47.754649,192.168.1.6,10.0.0.6,UDP,53,69,anomaly
2025-06-10T15:00:47.765031,192.168.1.7,10.0.0.7,TCP,80,70,normal
2025-06-10T15:00:47.775495,192.168.1.8,10.0.0.8,UDP,53,71,normal
2025-06-10T15:00:47.785681,192.168.1.9,10.0.0.9,TCP,80,72,normal
2025-06-10T15:00:47.796001,192.168.1.10,10.0.0.10,UDP,53,73,normal
2025-06-10T15:00:47.806284,192.168.1.11,10.0.0.11,TCP,80,74,anomaly
2025-06-10T15:00:47.816873,192.168.1.12,10.0.0.12,UDP,53,75,normal
2025-06-10T15:00:47.827496,192.168.1.13,10.0.0.13,TCP,80,76,normal
2025-06-10T15:00:47.837739,192.168.1.14,10.0.0.14,UDP,53,77,normal
2025-06-10T15:00:47.848370,192.168.1.15,10.0.0.15,TCP,80,78,normal
2025-06-10T15:00:47.858653,192.168.1.16,10.0.0.16,UDP,53,79,anomaly
2025-06-10T15:00:47.869415,192.168.1.17,10.0.0.17,TCP,80,80,normal
2025-06-10T15:00:47.880013,192.168.1.18,10.0.0.18,UDP,53,81,normal
2025-06-10T15:00:47.890355,192.168.1.19,10.0.0.19,TCP,80,82,normal
2025-06-10T15:00:47.900906,192.168.1.20,10.0.0.20,UDP,53,83,normal
2025-06-10T15:00:47.911363,192.168.1.21,10.0.0.21,TCP,80,84,anomaly
2025-06-10T15:00:47.921892,192.168.1.22,10.0.0.22,UDP,53,85,normal
2025-06-10T15:00:47.932027,192.168.1.23,10.0.0.23,TCP,80,86,normal
2025-06-10T15:00:47.942476,192.168.1.24,10.0.0.24,UDP,53,87,normal
2025-06-10T15:00:47.952744,192.168.1.25,10.0.0.25,TCP,80,88,normal
2025-06-10T15:00:47.963205,192.168.1.26,10.0.0.26,UDP,53,89,anomaly
2025-06-10T15:00:47.973479,192.168.1.27,10.0.0.27,TCP,80,90,normal
2025-06-10T15:00:47.984251,192.168.1.28,10.0.0.28,UDP,53,91,normal
2025-06-10T15:00:47.994679,192.168.1.29,10.0.0.29,TCP,80,92,normal
2025-06-10T15:00:48.005048,192.168.1.30,10.0.0.30,UDP,53,93,normal
2025-06-10T15:00:48.015651,192.168.1.31,10.0.0.31,TCP,80,94,anomaly
2025-06-10T15:00:48.026008,192.168.1.32,10.0.0.32,UDP,53,95,normal
2025-06-10T15:00:48.036360,192.168.1.33,10.0.0.33,TCP,80,96,normal
2025-06-10T15:00:48.046808,192.168.1.34,10.0.0.34,UDP,53,97,normal
2025-06-10T15:00:48.057503,192.168.1.35,10.0.0.35,TCP,80,98,normal
2025-06-10T15:00:48.067782,192.168.1.36,10.0.0.36,UDP,53,99,anomaly
2025-06-10T15:00:48.078281,192.168.1.37,10.0.0.37,TCP,80,100,normal
2025-06-10T15:00:48.088761,192.168.1.38,10.0.0.38,UDP,53,101,normal
2025-06-10T15:00:48.098978,192.168.1.39,10.0.0.39,TCP,80,102,normal
2025-06-10T15:00:48.109430,192.168.1.40,10.0.0.40,UDP,53,103,normal
2025-06-10T15:00:48.119948,192.168.1.41,10.0.0.41,TCP,80,104,anomaly
2025-06-10T15:00:48.130086,192.168.1.42,10.0.0.42,UDP,53,105,normal
2025-06-10T15:00:48.140406,192.168.1.43,10.0.0.43,TCP,80,106,normal
2025-06-10T15:00:48.150866,192.168.1.44,10.0.0.44,UDP,53,107,normal
2025-06-10T15:00:48.161310,192.168.1.45,10.0.0.45,TCP,80,108,normal
2025-06-10T15:00:48.171928,192.168.1.46,10.0.0.46,UDP,53,109,anomaly
2025-06-10T15:00:48.182454,192.168.1.47,10.0.0.47,TCP,80,110,normal
2025-06-10T15:00:48.192795,192.168.1.48,10.0.0.48,UDP,53,111,normal
2025-06-10T15:00:48.203198,192.168.1.49,10.0.0.49,TCP,80,112,normal
2025-06-10T15:00:48.213927,192.168.1.50,10.0.0.50,UDP,53,113,normal
2025-06-10T15:00:48.224398,192.168.1.51,10.0.0.51,TCP,80,114,anomaly
2025-06-10T15:00:48.234933,192.168.1.52,10.0.0.52,UDP,53,115,normal
2025-06-10T15:00:48.245095,192.168.1.53,10.0.0.53,TCP,80,116,normal
2025-06-10T15:00:48.255481,192.168.1.54,10.0.0.54,UDP,53,117,normal
2025-06-10T15:00:48.265880,192.168.1.55,10.0.0.55,TCP,80,118,normal
2025-06-10T15:00:48.276431,192.168.1.56,10.0.0.56,UDP,53,119,anomaly
2025-06-10T15:00:48.286715,192.168.1.57,10.0.0.57,TCP,80,120,normal
2025-06-10T15:00:48.297015,192.168.1.58,10.0.0.58,UDP,53,121,normal
2025-06-10T15:00:48.307454,192.168.1.59,10.0.0.59,TCP,80,122,normal
2025-06-10T15:00:48.317794,192.168.1.60,10.0.0.60,UDP,53,123,normal
2025-06-10T15:00:48.327880,192.168.1.61,10.0.0.61,TCP,80,124,anomaly
2025-06-10T15:00:48.338336,192.168.1.62,10.0.0.62,UDP,53,125,normal
2025-06-10T15:00:48.348544,192.168.1.63,10.0.0.63,TCP,80,126,normal
2025-06-10T15:00:48.359063,192.168.1.64,10.0.0.64,UDP,53,127,normal
2025-06-10T15:00:48.369514,192.168.1.65,10.0.0.65,TCP,80,128,normal
